0
{'구글 엔지니어는 이렇게 일한다': '개발자를 위한 진수성찬 같네요.'}
{'구글 엔지니어는 이렇게 일한다': '번역이 조금 아쉽습니다만 좋은 책입니다.'}
{'구글 엔지니어는 이렇게 일한다': 'DevOps시대에 구글러들의 생각 메커니즘을 체득할 수 있어서 유익했습니다.'}
"{'구글 엔지니어는 이렇게 일한다': '생각지도 못했던 용어에 대한 정의, 그 정의에서 풀어내는 질문들이 훌륭합니다.'}"
{'구글 엔지니어는 이렇게 일한다': '기술 자체보다 당면한 문제에 어떻게 대응하는지 프랙티스를 보여주는 점이 좋습니다'}
{'구글 엔지니어는 이렇게 일한다': '개발자를 위한 진수성찬 같네요.'}
{'구글 엔지니어는 이렇게 일한다': '번역이 조금 아쉽습니다만 좋은 책입니다.'}
{'구글 엔지니어는 이렇게 일한다': 'DevOps시대에 구글러들의 생각 메커니즘을 체득할 수 있어서 유익했습니다.'}
"{'구글 엔지니어는 이렇게 일한다': '생각지도 못했던 용어에 대한 정의, 그 정의에서 풀어내는 질문들이 훌륭합니다.'}"
{'구글 엔지니어는 이렇게 일한다': '기술 자체보다 당면한 문제에 어떻게 대응하는지 프랙티스를 보여주는 점이 좋습니다'}
{'구글 엔지니어는 이렇게 일한다': '개발자를 위한 진수성찬 같네요.'}
{'구글 엔지니어는 이렇게 일한다': '번역이 조금 아쉽습니다만 좋은 책입니다.'}
{'구글 엔지니어는 이렇게 일한다': 'DevOps시대에 구글러들의 생각 메커니즘을 체득할 수 있어서 유익했습니다.'}
"{'구글 엔지니어는 이렇게 일한다': '생각지도 못했던 용어에 대한 정의, 그 정의에서 풀어내는 질문들이 훌륭합니다.'}"
{'구글 엔지니어는 이렇게 일한다': '기술 자체보다 당면한 문제에 어떻게 대응하는지 프랙티스를 보여주는 점이 좋습니다'}
{'진짜 쓰는 실무 엑셀': '도움됩니다'}
{'진짜 쓰는 실무 엑셀': '정말 도움이 되는 내용들만 있습니다'}
{'진짜 쓰는 실무 엑셀': '도움이 많이 됐습니다.'}
{'진짜 쓰는 실무 엑셀': '업무에 도움이 됩니다'}
{'진짜 쓰는 실무 엑셀': '너무 유익하게 잘 보았습니다.'}
{'진짜 쓰는 실무 엑셀': '초보자에게 꼭 필요한책이에요'}
{'진짜 쓰는 실무 엑셀': '도움됩니다'}
{'진짜 쓰는 실무 엑셀': '정말 도움이 되는 내용들만 있습니다'}
{'진짜 쓰는 실무 엑셀': '도움이 많이 됐습니다.'}
{'진짜 쓰는 실무 엑셀': '업무에 도움이 됩니다'}
{'진짜 쓰는 실무 엑셀': '너무 유익하게 잘 보았습니다.'}
{'진짜 쓰는 실무 엑셀': '초보자에게 꼭 필요한책이에요'}
{'진짜 쓰는 실무 엑셀': '도움됩니다'}
{'진짜 쓰는 실무 엑셀': '정말 도움이 되는 내용들만 있습니다'}
{'진짜 쓰는 실무 엑셀': '도움이 많이 됐습니다.'}
